id,country,description,designation,points,price,province,region_1,region_2,taster_name,taster_twitter_handle,title,variety,winery
65000,US,"Sour cherry aromas meld with notes of spice and briar on this bold, structured Pinot Noir. The palate boasts bright red-fruit notes with rustic hints of earth and brine, and a coating of grippy tannins that linger on the finish.",Reserve,86,28.0,New York,Finger Lakes,Finger Lakes,Anna Lee C. Iijima,,Wagner 2010 Reserve Pinot Noir (Finger Lakes),Pinot Noir,Wagner
65001,US,"Marked by ripe orange, apricot and mango flavors, this Sauvignon Blanc is rescued by brisk acidity that lends it a clean finish. A touch of oak adds hints of vanilla and buttered toast.",Ritchie Vineyard Requiem,86,35.0,California,Russian River Valley,Sonoma,,,Genius Wines 2011 Ritchie Vineyard Requiem Sauvignon Blanc (Russian River Valley),Sauvignon Blanc,Genius Wines
65002,US,"Baking spice and toasted wood add warmth to preserved black cherry and plum flavors in this bold, lushly textured Cabernet Franc. The tannins are quite soft, but the dense fruit profile gives it weight and body.",,86,18.0,New York,Finger Lakes,Finger Lakes,Anna Lee C. Iijima,,Hosmer 2010 Cabernet Franc (Finger Lakes),Cabernet Franc,Hosmer
65003,US,"Varietally correct Syrah from Washington can be difficult to find in this price range but this wine brings it with notes of blueberry, mesquite and vanilla along with a soft, subdued, citrusy feel. Finishes a touch ripe.",,86,10.0,Washington,Washington,Washington Other,Sean P. Sullivan,@wawinereport,Washington Hills 2011 Syrah (Washington),Syrah,Washington Hills
65004,Spain,"This small-production blend from Ribeiro is fragrant, with vibrant red-berry and floral aromas. In the mouth, it's tangy and lean, with more acidity than body. Flavors are mostly generic in nature, leaning towards cherry and plum, while the finish is raw. This is more of a food wine than a sipper.",Abadía de Gomariz,86,35.0,Galicia,Ribeiro,,Michael Schachner,@wineschach,Coto de Gomariz 2007 Abadía de Gomariz Red (Ribeiro),Red Blend,Coto de Gomariz
65005,US,"Strong and ripe with Zinny flavor— intense wild berry and cherry fruit as well as a briary, brambly mouthfeel. High alcohol gives it a glycerine richness.",,86,38.0,California,Paso Robles,Central Coast,,,Peachy Canyon 2011 Zinfandel (Paso Robles),Zinfandel,Peachy Canyon
65006,US,"This features clean, straightforward apple-flavored fruit, a mix of both barrel fermented and tank fermented. The finish is lightly toasty and buttery, with a hint of warmth.",,86,11.0,Idaho,,,Paul Gregutt,@paulgwine ,Sawtooth 2010 Chardonnay,Chardonnay,Sawtooth
65007,US,"Mostly Cabernet Sauvignon and Merlot along with a dash of Malbec and Syrah, this red blend is on the lighter side of medium bodied with notes of tobacco, chocolate, cherry and fresh herbs.",The Catalyst,86,15.0,Washington,Columbia Valley (WA),Columbia Valley,Sean P. Sullivan,@wawinereport,Apex 2010 The Catalyst Red (Columbia Valley (WA)),Red Blend,Apex
65008,South Africa,"This is a spicy, lushly textured wine with concentrated aromas and flavors of black berries, bramble, chocolate, chicory and coffee. Ripe, dark fruit and berry flavors linger into the medium-length finish, with a soft note of  earthy spice on the back.",,86,15.0,Western Cape,,,Lauren Buzzeo,@laurbuzz,Barista 2011 Pinotage (Western Cape),Pinotage,Barista
65009,Italy,"Fragrant notes of cut grass, kiwi and white flower open the bouquet of this Vermentino from sunny, coastal Tuscany. The wine is crisp and tight with pretty nuances of lemon and lime on the close.",,86,,Tuscany,Bolgheri,,,,Campo al Mare 2011 Vermentino (Bolgheri),Vermentino,Campo al Mare
